13	69	55	43
92	2	46	84
93	26	82	43
37	71	77	47
87	98	8	76
89	36	53	77
32	16	5	50
17	12	2	61
40	38	82	48
87	11	56	4
82	17	71	31
59	87	42	15
26	54	89	69
56	93	2	88
43	300	89	75
68	29	98	90
8	75	1	30
67	99	58	29
9	85	22	34
71	64	3	67
20	60	76	48
10	16	94	19
81	30	27	44
19	29	79	32
95	39	23	38
68	48	37	10
99	8	21	21
300	25	48	38
70	83	21	67
95	3	54	98
93	45	10	12
42	94	11	24
7	63	6	69
39	54	82	97
8	41	83	10
81	87	66	91
73	24	95	300
87	79	24	30
97	87	21	30
22	24	6	53
2	77	54	74
80	13	25	62
65	76	34	64
47	29	38	17
60	21	5	55
13	99	9	57
59	9	13	7
22	32	97	70
65	84	30	76
86	3	16	12
9	80	57	68
33	56	36	47
95	10	31	33
16	79	30	52
41	72	32	83
80	80	38	66
55	79	51	85
52	91	38	91
95	7	89	63
91	91	49	44
56	5	21	59
78	65	25	50
59	87	79	4
96	86	20	98
7	37	35	12
2	52	14	36
96	8	98	20
53	48	42	56
93	64	84	17
45	70	2	27
85	13	1	5
56	92	28	90
76	25	95	73
78	60	43	5
60	97	86	69
75	33	25	24
15	46	57	93
21	11	98	48
66	5	81	97
37	10	5	5
43	51	60	26
37	90	83	29
19	49	37	69
77	65	90	17
49	4	63	69
27	95	37	89
52	83	63	27
9	31	36	39
27	81	83	58
33	56	87	61
67	11	37	57
51	62	78	50
67	51	66	94
93	29	41	63
14	71	85	58
1	9	79	10
66	4	54	22
27	18	38	26
78	24	17	26
26	43	96	40
64	5	17	6
75	87	96	54
74	44	60	14
79	94	48	23
82	67	97	64
67	34	72	89
96	8	47	64
31	47	83	10
63	46	19	80
34	29	56	49
83	39	53	79
35	8	98	23
6	5	30	18
55	22	96	97
53	93	48	17
20	40	47	98
50	64	26	90
23	77	17	92
25	16	86	79
51	90	25	86
60	30	26	30
35	38	300	98
86	14	53	80
32	95	80	57
20	25	98	51
87	41	13	78
35	71	27	68
25	79	13	82
11	23	76	49
17	7	9	32
29	50	4	56
27	95	52	23
52	16	77	6
86	1	43	66
97	96	24	14
98	11	7	33
51	70	25	4
91	86	16	91
34	64	5	38
42	94	99	38
84	17	75	20
76	21	3	43
37	7	87	94
84	58	91	56
92	57	12	40
71	22	12	94
59	42	71	74
79	32	28	90
39	87	23	13
62	87	31	26
12	77	28	84
11	70	10	76
56	8	34	75
37	60	94	98
40	86	75	22
8	21	68	39
22	77	96	74
7	25	11	97
80	11	14	46
71	57	70	38
37	47	76	12
83	46	50	6
68	86	36	22
79	39	22	15
57	16	44	80
68	56	58	98
77	35	22	50
70	35	83	7
38	21	48	72
3	83	47	80
72	300	7	24
94	66	74	15
19	98	97	26
90	33	48	43
57	58	46	2
37	12	22	75
89	30	53	79
83	36	35	14
67	23	86	23
88	20	63	53
77	94	6	43
37	63	75	24
32	75	76	47
31	21	72	93
49	98	63	4
56	26	99	22
89	92	30	76
15	78	99	36
40	75	3	83
85	59	84	65
75	6	57	69
4	29	22	86
25	3	37	45
30	12	9	12
93	39	13	31
35	54	64	59
35	25	4	6
26	11	54	91
48	9	75	39
27	94	38	92
41	37	91	24
32	94	68	95
65	61	92	9
61	57	64	78
82	57	70	3
42	85	74	68
1	21	94	76
77	51	71	45
85	75	94	71
15	44	24	33
58	97	88	24
8	60	33	23
76	29	91	10
78	35	29	92
85	44	20	27
42	11	18	4
68	18	96	47
33	30	48	35
83	300	64	66
51	93	79	35
44	83	72	35
3	47	87	28
55	86	78	3
